This list is dynamic and is subject to change. This cashless hospital list is valid for 3 days from the report generate date. Please call the hospital to confirm availability of cashless hospital before admission.
Name,Address,State,City,PinCode,Phone,Email
 Adhikari Lifeline ,"Shop No 2, Royal Classic",Maharashtra,Mumbai,401404,7030119444,ADHIKARILIFELINEBATEGAON@GMAIL.COM
 Ainu (Asian Institute Of Nephrology & Urology),"47-11-12,1St Lane Dwarakanagar",Andhra Pradesh,Visakhapatnam,530016,8106768800,BILLING.VIZAG@AINUINDIA.COM
 Anandam Netralaya Pvt Ltd,"16/1/3 Race course road , ",Madhya Pradesh,Indore,452001,400 5155,ANANDAMNETRALAYAINDORE@GMAIL.COM
 Bankers Heart And Multi Speciality Hospital,"ORCHID BUSINESS CENTER, NR PANCHSHEEL COMPLEX,",Gujarat,Vadodara,390022,2530000,BHMH.IPD@GMAIL.COM
 Bankers Heart Institute,"NR TAGOR NAGAR, OPP. SURYAKIRAN COMPLEX,",Gujarat,Vadodara,390015,2652320404,BHI.IPD@GMAIL.COM
 Chaitanya Hospital               ,"IN FRONT OF NAGARE HOSPITAL, TAJNE MALA, NEW NAGAR ROAD",Maharashtra,Sangamner,422605,221632 / 224761,CHAITANYAHOSPITAL6@GMAIL.COM
 Drishti Netralaya,"In Front Of AIIMS Hospital, Near Bank Of India,Great Eastern Road",Chattisgarh,Raipur,492099,4002111,CASHLESS.DRISHTINETRALAY2018@GMAIL.COM
 Neyyar Medicity,"Killi,",Kerala,Thiruvananthapuram,695572,471-2525777,INSURANCE@NEYYARMEDIITY.COM
 Om Orthopadic Hospital,"2nd  Floor Shivshakti Complex,",Gujarat,Kadi,382715,9510626376,SHASHI.BJMC@GMAIL.COM
 Phoenix Ortho And Speciality Clinic,"Shop no 3, New Geetanjali  opp. Pramila hospital, Sudama Nagar, Budhaji Nagar, Thane, Maharashtra-",Maharashtra,Mumbai,400605,9324237388,PHOENIXHOSPITALKHOPAT@GMAIL.COM
 Pranjal Shri Hospital Pvt. Ltd," Ward No. 18, Gangjala Chowk, Ramesh Jha Rd",Bihar,Saharsa,852201,9490020094/7766838426,PRANJALSHRI HOSPITAL@YAHOO.COM
 Saifee Hospital,"P.O. Box No. 3771, 15/17 Maharishi Karve Marg",Maharashtra,Mumbai,400004,9004045985,SAIFEETPA@GMAIL.COM
 Sanjeev Netralaya,"Plot No-261, Bari Co-Operative Colony,Sector- 12
",Jharkhand,Bokaro Steel City,827012,9471127351,SNBOKARO.CASHLESS@GMAIL.COM
7 Orange Hospital,"Pawana nagar,next to jain school,near chapekar chowk,,chinchwad",Maharashtra,Pune,411033,7775868888,
7x Multi Speciality Hospital,"4th Floor, 7X corrodor, Opp. Motilal Vin Baug",Gujarat,Bharuch,392001,244020,7XMULTISPEIALITYHOSPITAL@GMAIL.COM
